ID,Data Item,Data validation,Mandatory (M)/Optional(O),Business Rules
4.4,"(accountingPeriod)
startDate","standard GDS date format
dd/mm/yyyy
",M,"Cannot be a future date
Back-end date to be stored as : ISO 8601 YYYY-MM-DD
An Error message will be returned if data is not provided
Date can not be before 01/10/16"
4.5,"(accountingPeriod)
endDate","standard GDS date format 
dd/mm/yyyy
End dates can't be before 1st April 2017.",M,"The end date must be a min of 1 day and a max of 18 months after the start date 
Error will be returned if the end date is more than 18 months after the start date .
Back-end date to be stored as : ISO 8601 YYYY-MM-DD
An Error message will be returned if data is not provided"
4.6,submissionType,Original/Revised,M,An Error message will be returned if data is not provided
4.7,revisedReturnDetails,"UTF-String
min 1 max 5000 chars - 
",M,"Mandatory when return is revised
An Error message will be returned if data is not provided"
5. Group level elections (groupLevelElections),,,,
5.1,"(groupRatio)
isElected",True/False,M,"If groupRatio isElected  = False then the Fixed Ratio method will be used for the calculation of basic interest allowance
If groupRatio isElected  = True, then the following data items below must be completed: 
Item 5.2- Qualifying net group-interest expense (QNGIE)
Item 5.3 - Group-EBITDA
Item 5.4 Group ratio percentage
Item 5.5 Group ratio (blended) election
If groupRatio isElected  = False, then 5.2, 5.3 & 5.4,5.5 are NOT Required. 
An Error message will be returned if Group ratio election is not provided"
5.5,"(groupRatioBlended)
isElected",True/False,M,"Required if item 5.1 - groupRatio isElected  = True
An Error message will be returned if data is not provided"
5.6,investorGroups,"List [String]
For each investor group named, capture What elections have been made/not made
Name : String, min 1 , max 160
for group ratio - 
""groupRatioBlended"",
""groupEBITDA"",
""interestAllowanceAlternativeCalculation"",
 ""interestAllowanceNonConsolidatedInvestment"",
 ""interestAllowanceConsolidatedPartnership""
for fixed ratio -
""interestAllowanceAlternativeCalculation"",
""interestAllowanceNonConsolidatedInvestment"",
 ""interestAllowanceConsolidatedPartnership"",
""groupEBITDA""",O,"ONLY available where a group ratio election is made.(item 5.1)
The group CAN (not must) specify one or more investor groups, and treat this/these as having made or not made other elections"
5.7 A,activeGroupEBITDAChargeableGains,True/False,M,"Relevant for both fixed ratio or group ratio methods. 
An Error message will be returned if data is not provided
"
5.7,groupEBITDAChargeableGains,True/False,M,Item irrevocable
Group + Fixed Ratio,,,,
5.9,interestAllowanceAlternativeCalculation,True/False,M,"Relevant for both fixed ratio or group ratio methods. 
An Error message will be returned if data is not provided
Item irrevocable (but we do not have access to previous returns to see if this has previously been elected)"
5.9A,activeInterestAllowanceAlternativeCalculation,True/False,M,"Relevant for both fixed ratio or group ratio methods. 
An Error message will be returned if data is not provided
"
5.1,interestAllowanceNonConsolidatedInvesment,True/False,M,"Relevant for both the fixed ratio and the group ratio methods
Relevent for both active and newly elected Non-Consolidated investments
When Interest allowance (non-consolidated investment) election = True, then one or more non-consolidated associates of the worldwide group must be entered on the return. (see item 5.9)
Can also elect item 5.7 - Interest allowance (consolidated partnerships) election 
An Error message will be returned if data is not provided"
5.11,"(interestAllowanceConsolidatedPartnership)
isElected",True/False,M,"Relevant for both the fixed ratio and the group ratio methods.
 When Interest allowance (consolidated partnerships) election is elected, a Partnership or partnerships to which election relates to must be entered (item 5.14)
An Error message will be returned if data is not provided
Item irrevocable "
5.11A,"(interestAllowanceConsolidatedPartnership)
isActive",True/False,M,"Relevant for both fixed ratio or group ratio methods. 
An Error message will be returned if data is not provided
"
5.12,qicElection,True/False,M,"Qualifying infrastructure company election
NOTE: Election lasts for 5 years"
Interest allowance (non-consolidated investment) election,,,,
5.13,nonConsolidatedInvestments," Investment name type, size min 1, max 5000",M if item 5.6 =Yes,"MUST specify one or more non-consolidated associates of the worldwide group when Item 5.10 -Interest allowance (non-consolidated investment) election is made.
Item irrevocable
An Error message will be returned if data is not provided"
Interest allowance (consolidated partnerships) election,,,,
5.14,consolidatedPartnerships,"Names of each Partnership/s -
Name : String, min 1 , max 160
List of
min elements 1, max element 32767",M if item 5.7 =Yes,"Can be a UK Partnership or a Non UK Partnership
MUST identify the consolidated partnership when item 5.11 or 5.11A is true- Interest allowance (consolidated partnerships) active/election is true
If UK Partnership - request an SA UTR - item 5.15
An Error message will be returned if data is not provided"
5.15,sautr,"10 digits
min 10, max 10
Use UTR Check Sum to validate the UTR",M,
6. About the companies involved - data for each UK company (ukCompanies),,,,
6.1,companyName,"String
Alpha numeric - min 1 max 160 chars
",M,An Error message will be returned if data is not provided
6.2,utr,"10 digits
min 10, max 10
Use UTR Check Sum to validate the UTR",M,An Error message will be returned if data is not provided
6.3,consenting,True/False,M,An Error message will be returned if data is not provided
7.1,declaration,True/False,M,If return does not meet declaration criteria then the return is deemed invalid
